Date	T	H	WS	WD	NS	EW		
								
1.sij.99		94	0,9	129	0,777145961456971	-0,629320391049837		32,8
2.sij.99		93	1,1	183	-0,052335956242944	-0,998629534754574		6,3
3.sij.99		96	1,5	203	-0,390731128489274	-0,92050485345244		
4.sij.99		97	4	129	0,777145961456971	-0,629320391049837		
5.sij.99		95	0,5	112	0,927183854566787	-0,374606593415912		
6.sij.99		95	2,6	66	0,913545457642601	0,4067366430758		
7.sij.99		97	1,8	98	0,99026806874157	-0,139173100960065		
8.sij.99		99	0,3	339	-0,358367949545301	0,933580426497202		
9.sij.99		98	1	158	0,374606593415912	-0,927183854566787		
10.sij.99		93	0,7	90	1	6,12323399573677E-17		
11.sij.99		92	2,1	72	0,951056516295153	0,309016994374947		
12.sij.99		90	1,8	70	0,939692620785908	0,342020143325669		
13.sij.99		91	0,7	102	0,978147600733806	-0,207911690817759		
14.sij.99		92	1,3	127	0,798635510047293	-0,601815023152048		
15.sij.99		93	1	72	0,951056516295153	0,309016994374947		
16.sij.99		95	1,8	175	0,087155742747659	-0,996194698091746		
17.sij.99		95	2,4	160	0,342020143325669	-0,939692620785908		
18.sij.99		91	0,9	75	0,965925826289068	0,258819045102521		
19.sij.99		94	0,7	126	0,809016994374947	-0,587785252292473		
20.sij.99		95	1,6	141	0,629320391049838	-0,777145961456971		
21.sij.99		95	1,8	81	0,987688340595138	0,156434465040231		
22.sij.99		93	1	96	0,994521895368273	-0,104528463267653		
23.sij.99		25	0,9	116	0,898794046299167	-0,438371146789078		
24.sij.99	12,2	8	1,1	79	0,981627183447664	0,190808995376545		
25.sij.99	9,1	97	1,4	85	0,996194698091746	0,087155742747658		3,1
26.sij.99	11,8	100	2,4	162	0,309016994374947	-0,951056516295153		5,8
27.sij.99	12,2	99	0,5	94	0,997564050259824	-0,069756473744125		6,2
28.sij.99	10,9	94	1	89	0,999847695156391	0,017452406437283		7,5
29.sij.99	11,2	87	0,9	74	0,961261695938319	0,275637355816999		7,8
30.sij.99	14,9	72	2,6	108	0,951056516295154	-0,309016994374947		11,5
31.sij.99	11,2	25	3,7	64	0,898794046299167	0,438371146789077		15,2
1.velj.99	7,7	47	1,6	58	0,848048096156426	0,529919264233205		18,7
2.velj.99	11,8	64	1,7	74	0,961261695938319	0,275637355816999		22,8
3.velj.99	11,9	64	2,8	91	0,999847695156391	-0,017452406437284		22,9
4.velj.99	13,4	60	1,5	49	0,754709580222772	0,656059028990507		24,4
5.velj.99	17	47	0,6	74	0,961261695938319	0,275637355816999		28
6.velj.99	14,4	66	1	218	-0,615661475325658	-0,788010753606722		30,6
7.velj.99	12,8	73	1,5	258	-0,978147600733806	-0,20791169081776		32,2
8.velj.99	13,1	65	1,1	224	-0,694658370458997	-0,719339800338651		32,5
9.velj.99	10,9	100	1,2	288	-0,951056516295154	0,309016994374947		34,7
10.velj.99	9,4	64	1,7	288	-0,951056516295154	0,309016994374947		36,2
11.velj.99	10,3	73	2,5	296	-0,898794046299167	0,438371146789077		37,1
12.velj.99	7,8	89	1,1	66	0,913545457642601	0,4067366430758		39,6
13.velj.99	10,3	58	2,4	58	0,848048096156426	0,529919264233205		42,1
14.velj.99	7,9	58	2,3	95	0,996194698091746	-0,087155742747658		44,5
15.velj.99	11,9	56	2,1	308	-0,788010753606722	0,615661475325658		48,5
16.velj.99	12,4	73	0,8	115	0,90630778703665	-0,422618261740699		49
17.velj.99	14,1	69	0,5	70	0,939692620785908	0,342020143325669		50,7
18.velj.99	16,9	59	0,9	57	0,838670567945424	0,544639035015027		53,5
19.velj.99	14,9	73	1	146	0,559192903470747	-0,829037572555042		55,5
20.velj.99	13,8	81	1,7	192	-0,207911690817759	-0,978147600733806		56,6
21.velj.99	14,9	93	2,5	286	-0,961261695938319	0,275637355816999		57,7
22.velj.99	15,8	95	1,9	264	-0,994521895368273	-0,104528463267653		58,6
23.velj.99	15	93	0,6	136	0,694658370458997	-0,719339800338651		59,4
24.velj.99	13,5	100	2,8	290	-0,939692620785909	0,342020143325668		60,9
25.velj.99	13,2	72	0,8	135	0,707106781186548	-0,707106781186547		61,2
26.velj.99	17,1	64	0,6	71	0,945518575599317	0,325568154457157		65,1
27.velj.99	11,7	81	1,1	161	0,325568154457157	-0,945518575599317		70,5
28.velj.99	14,2	63	0,6	109	0,945518575599317	-0,325568154457156		73
1.ožu.99					0	1		87,2
2.ožu.99					0	1		87,2
3.ožu.99					0	1		87,2
4.ožu.99					0	1		87,2
5.ožu.99					0	1		87,2
6.ožu.99					0	1		87,2
7.ožu.99					0	1		87,2
8.ožu.99	13,3	93	3,7	150	0,5	-0,866025403784439		100,5
9.ožu.99	13,5	83	3,7	175	0,087155742747659	-0,996194698091746		100,7
10.ožu.99	14,7	97	3,5	149	0,515038074910054	-0,857167300702112		101,9
11.ožu.99	15,6	62	1,6	113	0,92050485345244	-0,390731128489274		102,8
12.ožu.99	15,8	69	3,3	83	0,992546151641322	0,121869343405147		103
13.ožu.99	15,3	75	1,2	90	1	6,12323399573677E-17		103,5
14.ožu.99	18,4	61	1,7	49	0,754709580222772	0,656059028990507		106,6
15.ožu.99	18,7	59	2,6	56	0,829037572555042	0,559192903470747		106,9
16.ožu.99	19,7	61	1,6	65	0,90630778703665	0,422618261740699		107,9
17.ožu.99	21,5	30	0,6	97	0,992546151641322	-0,121869343405147		109,7
18.ožu.99	21,6	34	0,8	74	0,961261695938319	0,275637355816999		109,8
19.ožu.99	22,3	44	1,2	59	0,857167300702112	0,515038074910054		110,5
20.ožu.99	18,2	48	2,5	75	0,965925826289068	0,258819045102521		114,6
21.ožu.99	19,7	49	1,3	268	-0,999390827019096	-0,034899496702502		116,1
22.ožu.99	18,8	54	1,5	74	0,961261695938319	0,275637355816999		117
23.ožu.99	18,9	41	2,6	77	0,974370064785235	0,224951054343865		117,1
24.ožu.99	17,1	72	3,4	218	-0,615661475325658	-0,788010753606722		118,9
25.ožu.99	11,6	94	4,5	287	-0,956304755963035	0,292371704722737		124,4
26.ožu.99	12,2	84	2,2	222	-0,669130606358858	-0,743144825477394		125
27.ožu.99	9,8	99	1,6	291	-0,933580426497202	0,3583679495453		127,4
28.ožu.99	12,8	84	0	208	-0,469471562785891	-0,882947592858927		130,4
29.ožu.99	14,5	98	1,1	175	0,087155742747659	-0,996194698091746		132,1
30.ožu.99	15,8	81	1	175	0,087155742747659	-0,996194698091746		133,4
31.ožu.99	17	81	1,9	209	-0,484809620246337	-0,874619707139396		134,6
1.tra.99	13,4	100	3,2	197	-0,292371704722736	-0,956304755963036		138,2
2.tra.99	16	86	1,9	152	0,469471562785891	-0,882947592858927		140,8
3.tra.99	19,8	72	0,7	269	-0,999847695156391	-0,017452406437284		144,6
4.tra.99	23	65	0,4	135	0,707106781186548	-0,707106781186547		147,8
5.tra.99	25,4	58	0,8	80	0,984807753012208	0,17364817766693		150,2
6.tra.99	16,4	94	1,3	211	-0,515038074910054	-0,857167300702112		159,2
7.tra.99	20,5	46	1,2	55	0,819152044288992	0,573576436351046		163,3
8.tra.99	22	52	1,6	167	0,224951054343865	-0,974370064785235		164,8
9.tra.99	20,7	50	2,4	74	0,961261695938319	0,275637355816999		166,1
10.tra.99	20,5	73	1,5	256	-0,970295726275996	-0,241921895599668		166,3
11.tra.99	20,6	62	1	77	0,974370064785235	0,224951054343865		166,4
12.tra.99	16,2	70	2,2	292	-0,927183854566787	0,374606593415912		170,8
13.tra.99	15,1	62	0,7	194	-0,241921895599667	-0,970295726275996		171,9
14.tra.99	13,9	77	1,6	266	-0,997564050259824	-0,069756473744126		173,1
15.tra.99	10,9	66	0,9	299	-0,874619707139396	0,484809620246337		176,1
16.tra.99	10,9	100	1,5	276	-0,994521895368273	0,104528463267653		176,1
17.tra.99	12,7	81	2	289	-0,945518575599317	0,325568154457156		177,9
18.tra.99	14,2	58	0,9	40	0,642787609686539	0,766044443118978		179,4
19.tra.99	14,2	78	1,1	186	-0,104528463267653	-0,994521895368273		179,4
20.tra.99	15	100	2,8	180	1,22464679914735E-16	-1		180,2
21.tra.99	14	100	1,4	74	0,961261695938319	0,275637355816999		181,2
22.tra.99	15,3	93	1	131	0,754709580222772	-0,656059028990507		182,5
23.tra.99	14,5	89	2	276	-0,994521895368273	0,104528463267653		183,3
24.tra.99	15,3	75	1,5	255	-0,965925826289068	-0,258819045102521		184,1
25.tra.99	15,5	98	2,2	217	-0,601815023152048	-0,798635510047293		184,3
26.tra.99	14,2	98	2,3	287	-0,956304755963035	0,292371704722737		185,6
27.tra.99	16,1	74	1,1	40	0,642787609686539	0,766044443118978		187,5
28.tra.99	16,4	70	0,8	72	0,951056516295153	0,309016994374947		187,8
29.tra.99	15,8	82	1,6	228	-0,743144825477394	-0,669130606358858		188,4
30.tra.99	17	81	2,4	231	-0,777145961456971	-0,629320391049837		189,6
1.svi.99	17,3	77	0,3	143	0,601815023152048	-0,798635510047293		189,9
2.svi.99	16,5	92	1,5	253	-0,956304755963035	-0,292371704722737		190,7
3.svi.99	17,1	93	1,5	198	-0,309016994374948	-0,951056516295153		191,3
4.svi.99	15,8	85	1,4	208	-0,469471562785891	-0,882947592858927		192,6
5.svi.99	16,5	98	0,7	208	-0,469471562785891	-0,882947592858927		193,3
6.svi.99	16,5	100	2,8	202	-0,374606593415912	-0,927183854566787		193,3
7.svi.99	16,4	85	1,4	207	-0,453990499739546	-0,891006524188368		193,4
8.svi.99	17,8	71	1,3	285	-0,965925826289068	0,258819045102521		194,8
9.svi.99	18,7	73	1,8	143	0,601815023152048	-0,798635510047293		195,7
10.svi.99	20	89	1,5	137	0,681998360062498	-0,73135370161917		197
11.svi.99	18,3	99	2,5	251	-0,945518575599317	-0,325568154457157		198,7
12.svi.99	16,5	99	1,2	234	-0,809016994374947	-0,587785252292473		200,5
13.svi.99	17,8	96	1,7	292	-0,927183854566787	0,374606593415912		201,8
14.svi.99	16,1	100	4,7	297	-0,891006524188368	0,453990499739547		203,5
15.svi.99	11,6	100	1,8	266	-0,997564050259824	-0,069756473744126		208
16.svi.99	11,4	100	2,3	102	0,978147600733806	-0,207911690817759		208,2
17.svi.99	15,8	85	1,6	297	-0,891006524188368	0,453990499739547		212,6
18.svi.99	14,2	81	3	279	-0,987688340595138	0,156434465040231		214,2
19.svi.99	14,2	89	0,7	272	-0,999390827019096	0,034899496702501		214,2
20.svi.99	16,1	77	2,4	266	-0,997564050259824	-0,069756473744126		216,1
21.svi.99	19,3	61	1,2	78	0,978147600733806	0,207911690817759		219,3
22.svi.99					0	1		238,6
23.svi.99					0	1		238,6
24.svi.99					0	1		238,6
25.svi.99					0	1		238,6
26.svi.99	22,1	74	4,4	195	-0,25881904510252	-0,965925826289068		260,7
27.svi.99	18,1	96	1,7	131	0,754709580222772	-0,656059028990507		264,7
28.svi.99	19,8	78	1,1	169	0,190808995376545	-0,981627183447664		266,4
29.svi.99	20,9	79	2,2	152	0,469471562785891	-0,882947592858927		267,5
30.svi.99	18,8	81	1,5	270	-1	-1,83697019872103E-16		269,6
31.svi.99	23,8	67	1,8	107	0,956304755963036	-0,292371704722737		274,6
1.lip.99	18,2	92	0,7	136	0,694658370458997	-0,719339800338651		280,2
2.lip.99	17,1	87	1,5	289	-0,945518575599317	0,325568154457156		281,3
3.lip.99	18	81	1,8	229	-0,754709580222772	-0,656059028990508		282,2
4.lip.99	16,7	87	1,1	262	-0,99026806874157	-0,139173100960065		283,5
5.lip.99	16,4	93	1,3	199	-0,325568154457157	-0,945518575599317		283,8
6.lip.99	16,1	81	1,8	278	-0,99026806874157	0,139173100960065		284,1
7.lip.99	18,3	65	1	199	-0,325568154457157	-0,945518575599317		286,3
8.lip.99	20,7	66	0,7	71	0,945518575599317	0,325568154457157		288,7
9.lip.99	22,6	69	2	262	-0,99026806874157	-0,139173100960065		290,6
