Tmax, Jan00	#	Date	Time	TimeNr		Tmax, Feb00	Date	Time	TimeNr		Tmax, Jul00	Date	Time	TimeNr
														
12,9	1	5.1.2000	14:40	0,6111		14,2	1.2.2000	12:00	0,5000		21,4	1.7.2000	13:10	0,5486
14,8	2	6.1.2000	15:20	0,6389		13,8	2.2.2000	12:00	0,5000		21,4	2.7.2000	15:40	0,6528
14,7	3	7.1.2000	14:30	0,6042		18,4	3.2.2000	16:10	0,6736		20,4	3.7.2000	15:00	0,6250
10,6	4	8.1.2000	14:20	0,5972		18,9	4.2.2000	15:10	0,6319		21,5	4.7.2000	16:00	0,6667
13	5	9.1.2000	14:30	0,6042		16,8	5.2.2000	13:50	0,5764		23,2	5.7.2000	15:00	0,6250
12,4	6	10.1.2000	14:50	0,6181		15,2	6.2.2000	14:10	0,5903		20,8	6.7.2000	12:10	0,5069
12,2	7	12.1.2000	13:10	0,5486		15,1	7.2.2000	14:30	0,6042		24,6	7.7.2000	14:10	0,5903
13,4	8	12.1.2000	14:20	0,5972		13,8	8.2.2000	12:50	0,5347		26,4	8.7.2000	13:30	0,5625
10,1	9	13.1.2000	14:00	0,5833		14,8	9.2.2000	13:10	0,5486		28,4	9.7.2000	11:50	0,4931
9,4	10	14.1.2000	12:40	0,5278		14,5	10.2.2000	14:40	0,6111		21,1	10.7.2000	13:00	0,5417
11,5	11	15.1.2000	14:40	0,6111		11,6	11.2.2000	11:00	0,4583		21,8	11.7.2000	12:40	0,5278
13,4	12	16.1.2000	13:40	0,5694		15,2	11.2.2000	13:50	0,5764		27	12.7.2000	17:50	0,7431
14,2	13	17.1.2000	15:30	0,6458		16	12.2.2000	15:10	0,6319		31,1	13.7.2000	12:10	0,5069
14,7	14	18.1.2000	15:30	0,6458		14,6	13.2.2000	14:20	0,5972		21,6	18.7.2000	14:30	0,6042
15,1	15	19.1.2000	14:40	0,6111		13,9	17.2.2000	17:10	0,7153		21,1	19.7.2000	14:10	0,5903
14,4	16	20.1.2000	15:20	0,6389		16,5	18.2.2000	14:50	0,6181		19,1	20.7.2000	17:30	0,7292
13,6	17	21.1.2000	13:40	0,5694		17,1	19.2.2000	15:30	0,6458		20,8	21.7.2000	15:00	0,6250
7,9	18	22.1.2000	15:00	0,6250		16,6	20.2.2000	11:40	0,4861		22	22.7.2000	15:30	0,6458
	19					16,4	21.2.2000	12:30	0,5208		21,3	23.7.2000	14:40	0,6111
	20					13,8	22.2.2000	12:40	0,5278		19,4	24.7.2000	17:00	0,7083
	21					18,8	23.2.2000	13:20	0,5556		21,4	25.7.2000	14:30	0,6042
	22					21	24.2.2000	13:10	0,5486		21,7	26.7.2000	15:20	0,6389
	23					21,3	25.2.2000	13:20	0,5556		22,2	27.7.2000	16:10	0,6736
	24					15,6	26.2.2000	11:00	0,4583		24,6	28.7.2000	14:40	0,6111
	25					13,6	27.2.2000	13:30	0,5625		28,6	29.7.2000	16:10	0,6736
	26					14,1	28.2.2000	17:10	0,7153		30,4	30.7.2000	15:00	0,6250
	27										25,5	30.7.2000	17:50	0,7431
